store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_001,2026-04-10T12:15:05Z,1547.00
STORE_BLR_002,TXN_002,2026-04-10T12:42:18Z,8823.00
STORE_BLR_002,TXN_003,2026-04-10T13:41:55Z,297.00
STORE_BLR_002,TXN_004,2026-04-10T13:55:16Z,201.00
STORE_BLR_002,TXN_005,2026-04-10T14:23:21Z,225.00
STORE_BLR_002,TXN_006,2026-04-10T15:02:20Z,814.98
STORE_BLR_002,TXN_007,2026-04-10T15:46:39Z,599.00
STORE_BLR_002,TXN_008,2026-04-10T15:50:44Z,400.00
STORE_BLR_002,TXN_009,2026-04-10T16:08:03Z,799.00
STORE_BLR_002,TXN_010,2026-04-10T16:45:32Z,5183.00
STORE_BLR_002,TXN_011,2026-04-10T16:55:36Z,3156.00
STORE_BLR_002,TXN_012,2026-04-10T17:44:44Z,299.00
STORE_BLR_002,TXN_013,2026-04-10T17:55:02Z,1479.00
STORE_BLR_002,TXN_014,2026-04-10T18:00:18Z,149.00
STORE_BLR_002,TXN_015,2026-04-10T18:07:14Z,693.00
STORE_BLR_002,TXN_016,2026-04-10T18:41:51Z,3227.00
STORE_BLR_002,TXN_017,2026-04-10T19:02:09Z,2499.00
STORE_BLR_002,TXN_018,2026-04-10T19:21:55Z,4312.00
STORE_BLR_002,TXN_019,2026-04-10T19:33:52Z,1713.00
STORE_BLR_002,TXN_020,2026-04-10T19:41:29Z,2747.00
STORE_BLR_002,TXN_021,2026-04-10T19:54:02Z,1755.00
STORE_BLR_002,TXN_022,2026-04-10T20:25:04Z,1346.00
STORE_BLR_002,TXN_023,2026-04-10T21:16:15Z,269.00
STORE_BLR_002,TXN_024,2026-04-10T21:39:55Z,427.50
